Name,Northing,Easting,Elevation,Description
1,1000,1000,670.5456358,env1
2,0,0,570.5456358,Trib2SUPbpin
5,928.441806,952.318709,665.2539388,proTrib2SUP-bri_testcomment
6,928.298035,952.013812,665.7030838,proTrib2SUP-ws
3,957.340291,959.272652,670.0252308,proTrib2SUP-tob
4,950.300365,965.212508,666.8565168,proTrib2SUP-bkf
7,931.816073,955.623021,664.8177098,proTrib2SUP-ri
8,939.002896,962.711577,664.6945168,proTrib2SUP-ri
9,945.14549,969.771404,664.9043418,proTrib2SUP-ri
10,949.494891,976.069402,664.7387398,proTrib2SUP-ri
11,956.686355,985.720096,664.6402188,proTrib2SUP-ri
12,963.297509,994.025725,664.4644128,proTrib2SUP-ri
13,965.196377,1001.959874,664.3054418,proTrib2SUP-ri
14,965.112575,1001.899105,664.9373298,proTrib2SUP-ws
15,973.095991,1012.191463,664.9594308,proTrib2SUP-ri
16,979.378681,1019.521264,664.4260178,proTrib2SUP-ri
17,1026.582041,1150.715791,667.4894338,env17
18,979.80283,1021.558126,664.1910898,proTrib2SUP-ri
19,986.327494,1029.753153,664.2164058,proTrib2SUP-ri
20,993.207805,1039.87792,664.1271238,proTrib2SUP-ri
21,999.913766,1049.434555,663.9487638,proTrib2SUP-ri
22,999.936843,1049.268567,664.5510868,proTrib2SUP-ws
23,1007.590573,1049.001252,665.9159778,proTrib2SUP-bkf
24,1015.639794,1053.989045,668.5535238,proTrib2SUP-tob
25,1002.568137,1062.268934,663.7142438,proTrib2SUP-ri
26,1002.123656,1073.79567,663.4082348,proTrib2SUP-ri
27,1001.002124,1080.929673,663.4497598,proTrib2SUP-eri
28,1000.910887,1080.944682,664.1476118,proTrib2SUP-ws
29,998.854336,1083.958346,662.8120038,proTrib2SUP-bpo
30,998.730859,1083.624337,664.0885838,proTrib2SUP-ws
31,997.734345,1088.950241,662.2767498,proTrib2SUP-po
32,997.044207,1092.241524,662.3687858,proTrib2SUP-po
33,997.38039,1098.654224,662.9961998,proTrib2SUP-po
34,997.506946,1101.689292,663.3888178,proTrib2SUP-epo
35,997.772988,1102.244006,664.0973738,proTrib2SUP-ws
36,998.762025,1108.239664,663.6204188,proTrib2SUP-thw
37,996.689148,1114.730575,663.6302788,proTrib2SUP-bri
38,996.711811,1114.597835,664.0664958,proTrib2SUP-ws
39,1006.998756,1114.624502,665.5975078,proTrib2SUP-bkf
40,1014.288894,1115.956033,667.5901458,proTrib2SUP-tob
41,996.786633,1121.861633,663.6413248,proTrib2SUP-ri
42,993.747713,1132.412281,663.4721358,proTrib2SUP-ri
43,992.881376,1139.330411,663.2682908,proTrib2SUP-ri
44,990.926216,1148.742782,663.0886848,proTrib2SUP-ri
45,991.49663,1157.38701,662.8912088,proTrib2SUP-ri
46,990.191894,1164.665231,662.6130118,proTrib2SUP-ri
47,989.978823,1169.500379,662.3312408,proTrib2SUP-ri
48,992.404477,1169.167274,663.0162978,proTrib2SUP-ws
49,989.97117,1172.145188,661.8541668,proTrib2SUP-bpo
50,990.446254,1172.200096,662.8959708,proTrib2SUP-ws
51,993.143645,1175.885736,661.9372548,proTrib2SUP-po
52,993.121362,1175.90251,661.9347788,proTrib2SUP-po
53,997.277373,1180.117799,661.4001008,proTrib2SUP-po
54,1002.40765,1182.529452,661.3306328,proTrib2SUP-po
55,1006.28199,1185.046242,660.8626558,proTrib2SUP-po
56,1011.68584,1186.980383,661.2423198,proTrib2SUP-po
57,1017.850713,1188.810763,661.7242298,proTrib2SUP-epo
58,1017.724026,1188.812636,662.8870818,proTrib2SUP-ws
59,1021.103176,1188.685625,662.3814628,proTrib2SUP-thw
60,1024.229189,1188.223575,662.3800948,proTrib2SUP-bri
61,1024.230701,1188.170405,662.2060728,proTrib2SUP-bri
62,1024.117132,1188.242197,662.8502978,proTrib2SUP-ws
63,1032.103123,1176.661367,664.2492078,proTrib2SUP-bkf
64,1041.50833,1168.008911,666.7485128,proTrib2SUP-tob
65,1030.095766,1188.799353,662.3679448,proTrib2SUP-ri
66,1039.984446,1189.572486,661.8749088,proTrib2SUP-ri
67,1050.282563,1191.832103,661.7816568,proTrib2SUP-ri
68,1050.743353,1191.890432,662.3342208,proTrib2SUP-ws
69,1060.844549,1199.252013,661.1633298,proTrib2SUP-ri
70,1070.491817,1202.756289,661.3167678,proTrib2SUP-ri
71,1079.864206,1208.504322,661.4067718,proTrib2SUP-ri
72,1088.111983,1213.685361,660.9863638,proTrib2SUP-ri
73,1091.625262,1216.385761,660.7003238,proTrib2SUP-eri
74,1091.718892,1216.447779,661.6689698,proTrib2SUP-ws
75,1095.427309,1219.110609,660.5072388,proTrib2SUP-thw
76,1099.966814,1224.003145,660.6380808,proTrib2SUP-thw
77,1100.298456,1224.12051,661.6466368,proTrib2SUP-thw
78,1106.866148,1230.764371,660.7302668,proTrib2SUP-thw
79,1110.39557,1235.357454,660.4746978,proTrib2SUP-thw
80,1115.879934,1239.728407,660.7731138,proTrib2SUP-thw
81,1116.116744,1240.083097,661.6344218,proTrib2SUP-ws
82,1121.731477,1244.930631,661.3382758,proTrib2SUP-thw
83,1125.642138,1248.11948,661.2672938,proTrib2SUP-ri
